time_step,clock_time,agent_id,agent_name,urgency_level,urgency_score,safety_assessment,fire_proximity,smoke_proximity
22,08:14,1,Klaus Mueller,medium,0.42,at_risk,11,9
23,08:15,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
23,08:15,1,Klaus Mueller,medium,0.42,at_risk,11,9
24,08:16,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
24,08:16,1,Klaus Mueller,medium,0.42,at_risk,11,9
25,08:16,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
25,08:16,1,Klaus Mueller,medium,0.42,at_risk,11,9
26,08:17,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
26,08:17,1,Klaus Mueller,medium,0.42,at_risk,11,9
27,08:18,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
27,08:18,1,Klaus Mueller,medium,0.42,at_risk,11,9
28,08:18,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
28,08:18,1,Klaus Mueller,medium,0.42,at_risk,11,9
29,08:19,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
29,08:19,1,Klaus Mueller,medium,0.42,at_risk,11,9
30,08:20,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
30,08:20,1,Klaus Mueller,medium,0.42,at_risk,10,8
31,08:20,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
31,08:20,1,Klaus Mueller,medium,0.42,at_risk,10,8
32,08:21,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
32,08:21,1,Klaus Mueller,medium,0.42,at_risk,10,8
33,08:22,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
33,08:22,1,Klaus Mueller,medium,0.42,at_risk,10,8
34,08:22,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
34,08:22,1,Klaus Mueller,medium,0.42,at_risk,10,8
35,08:23,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
35,08:23,1,Klaus Mueller,medium,0.42,at_risk,10,8
36,08:24,0,Isabella Rodriguez,medium,0.3600000000000001,at_risk,6,4
36,08:24,1,Klaus Mueller,medium,0.42,at_risk,9,7
37,08:24,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
37,08:24,1,Klaus Mueller,medium,0.42,at_risk,9,7
38,08:25,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
38,08:25,1,Klaus Mueller,medium,0.42,at_risk,9,7
39,08:26,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
39,08:26,1,Klaus Mueller,medium,0.42,at_risk,9,7
40,08:26,0,Isabella Rodriguez,medium,0.4,at_risk,5,3
40,08:26,1,Klaus Mueller,medium,0.42,at_risk,9,7
41,08:27,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
41,08:27,1,Klaus Mueller,medium,0.42,at_risk,9,7
42,08:28,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
42,08:28,1,Klaus Mueller,medium,0.42,at_risk,9,7
43,08:28,0,Isabella Rodriguez,low,0.27999999999999997,safe,9,7
43,08:28,1,Klaus Mueller,medium,0.42,at_risk,9,7
44,08:29,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
44,08:29,1,Klaus Mueller,medium,0.42,at_risk,8,6
45,08:30,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
45,08:30,1,Klaus Mueller,medium,0.42,at_risk,8,6
46,08:30,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
46,08:30,1,Klaus Mueller,medium,0.42,at_risk,8,6
47,08:31,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
47,08:31,1,Klaus Mueller,medium,0.42,at_risk,8,6
48,08:32,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
48,08:32,1,Klaus Mueller,medium,0.42,at_risk,8,6
49,08:32,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
49,08:32,1,Klaus Mueller,medium,0.42,at_risk,8,6
50,08:33,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
50,08:33,1,Klaus Mueller,medium,0.42,at_risk,8,6
51,08:34,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
51,08:34,1,Klaus Mueller,medium,0.42,at_risk,8,6
52,08:34,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
52,08:34,1,Klaus Mueller,medium,0.42,at_risk,8,6
53,08:35,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
53,08:35,1,Klaus Mueller,medium,0.42,at_risk,8,6
54,08:36,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
54,08:36,1,Klaus Mueller,medium,0.42,at_risk,8,6
55,08:36,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
55,08:36,1,Klaus Mueller,medium,0.42,at_risk,8,6
56,08:37,0,Isabella Rodriguez,low,0.27999999999999997,safe,8,6
56,08:37,1,Klaus Mueller,medium,0.42,at_risk,8,6
57,08:38,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
57,08:38,1,Klaus Mueller,medium,0.42,at_risk,7,5
58,08:38,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
58,08:38,1,Klaus Mueller,medium,0.42,at_risk,7,5
59,08:39,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
59,08:39,1,Klaus Mueller,medium,0.42,at_risk,7,5
60,08:40,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
60,08:40,1,Klaus Mueller,medium,0.42,at_risk,7,5
61,08:40,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
61,08:40,1,Klaus Mueller,medium,0.42,at_risk,7,5
62,08:41,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
62,08:41,1,Klaus Mueller,medium,0.42,at_risk,7,5
63,08:42,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
63,08:42,1,Klaus Mueller,medium,0.42,at_risk,7,5
64,08:42,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
64,08:42,1,Klaus Mueller,medium,0.42,at_risk,7,5
65,08:43,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
65,08:43,1,Klaus Mueller,medium,0.42,at_risk,7,5
66,08:44,0,Isabella Rodriguez,low,0.27999999999999997,safe,7,5
66,08:44,1,Klaus Mueller,medium,0.42,at_risk,7,5
67,08:44,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
67,08:44,1,Klaus Mueller,medium,0.48,at_risk,6,5
68,08:45,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
68,08:45,1,Klaus Mueller,medium,0.48,at_risk,6,5
69,08:46,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
69,08:46,1,Klaus Mueller,medium,0.48,at_risk,6,5
70,08:46,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
70,08:46,1,Klaus Mueller,medium,0.48,at_risk,6,5
71,08:47,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
71,08:47,1,Klaus Mueller,medium,0.48,at_risk,6,5
72,08:48,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
72,08:48,1,Klaus Mueller,medium,0.48,at_risk,6,5
73,08:48,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
73,08:48,1,Klaus Mueller,medium,0.48,at_risk,6,5
74,08:49,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
74,08:49,1,Klaus Mueller,medium,0.48,at_risk,6,5
75,08:50,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
75,08:50,1,Klaus Mueller,medium,0.48,at_risk,6,5
76,08:50,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
76,08:50,1,Klaus Mueller,medium,0.48,at_risk,6,5
77,08:51,0,Isabella Rodriguez,medium,0.32000000000000006,at_risk,6,5
77,08:51,1,Klaus Mueller,medium,0.48,at_risk,6,5
78,08:52,0,Isabella Rodriguez,medium,0.3600000000000001,at_risk,6,4
78,08:52,1,Klaus Mueller,medium,0.54,at_risk,6,4
79,08:52,0,Isabella Rodriguez,medium,0.3600000000000001,at_risk,5,4
79,08:52,1,Klaus Mueller,medium,0.54,at_risk,5,4
80,08:53,0,Isabella Rodriguez,medium,0.3600000000000001,at_risk,5,4
80,08:53,1,Klaus Mueller,medium,0.54,at_risk,5,4
81,08:54,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
81,08:54,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
82,08:54,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
82,08:54,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
83,08:55,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
83,08:55,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
84,08:56,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
84,08:56,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
85,08:56,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
85,08:56,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
86,08:57,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
86,08:57,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
87,08:58,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
87,08:58,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
88,08:58,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
88,08:58,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
89,08:59,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
89,08:59,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
90,09:00,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
90,09:00,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
91,09:00,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
91,09:00,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
92,09:01,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
92,09:01,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
93,09:02,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
93,09:02,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
94,09:02,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
94,09:02,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
95,09:03,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
95,09:03,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
96,09:04,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
96,09:04,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
97,09:04,0,Isabella Rodriguez,medium,0.4800000000000001,at_risk,4,3
97,09:04,1,Klaus Mueller,high,0.7200000000000001,in_danger,4,3
98,09:05,0,Isabella Rodriguez,medium,0.52,at_risk,3,2
98,09:05,1,Klaus Mueller,high,0.78,in_danger,3,2
99,09:06,0,Isabella Rodriguez,medium,0.52,at_risk,3,2
99,09:06,1,Klaus Mueller,high,0.78,in_danger,3,2
100,09:06,0,Isabella Rodriguez,medium,0.52,at_risk,3,2
100,09:06,1,Klaus Mueller,high,0.78,in_danger,3,2
101,09:07,0,Isabella Rodriguez,medium,0.52,at_risk,3,2
101,09:07,1,Klaus Mueller,high,0.78,in_danger,3,2
102,09:08,0,Isabella Rodriguez,medium,0.52,at_risk,3,2
102,09:08,1,Klaus Mueller,high,0.78,in_danger,3,2
103,09:08,0,Isabella Rodriguez,medium,0.52,at_risk,3,2
103,09:08,1,Klaus Mueller,high,0.78,in_danger,3,2
104,09:09,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
104,09:09,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
105,09:10,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
105,09:10,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
106,09:10,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
106,09:10,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
107,09:11,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
107,09:11,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
108,09:12,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
108,09:12,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
109,09:12,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
109,09:12,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
110,09:13,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
110,09:13,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
111,09:14,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
111,09:14,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
112,09:14,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
112,09:14,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
113,09:15,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
113,09:15,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
114,09:16,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
114,09:16,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
115,09:16,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
115,09:16,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
116,09:17,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
116,09:17,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
117,09:18,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
117,09:18,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
118,09:18,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
118,09:18,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
119,09:19,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
119,09:19,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
120,09:20,0,Isabella Rodriguez,high,0.6000000000000001,in_danger,2,4
120,09:20,1,Klaus Mueller,critical,0.8999999999999999,critical_danger,2,4
121,09:20,0,Isabella Rodriguez,high,0.68,in_danger,2,1
121,09:20,1,Klaus Mueller,critical,1.0,critical_danger,2,1
122,09:21,0,Isabella Rodriguez,high,0.68,in_danger,2,1
122,09:21,1,Klaus Mueller,critical,1.0,critical_danger,2,1
123,09:22,0,Isabella Rodriguez,high,0.68,in_danger,2,1
123,09:22,1,Klaus Mueller,critical,1.0,critical_danger,2,1
124,09:22,0,Isabella Rodriguez,critical,0.8,critical_danger,1,1
124,09:22,1,Klaus Mueller,critical,1.0,critical_danger,1,1
125,09:23,0,Isabella Rodriguez,critical,0.8,critical_danger,1,1
125,09:23,1,Klaus Mueller,critical,1.0,critical_danger,1,1
126,09:24,0,Isabella Rodriguez,critical,0.8,critical_danger,1,1
126,09:24,1,Klaus Mueller,critical,1.0,critical_danger,1,1
127,09:24,0,Isabella Rodriguez,critical,0.8,critical_danger,1,1
127,09:24,1,Klaus Mueller,critical,1.0,critical_danger,1,1
128,09:25,0,Isabella Rodriguez,critical,0.8,critical_danger,1,1
128,09:25,1,Klaus Mueller,critical,1.0,critical_danger,1,1
129,09:26,0,Isabella Rodriguez,critical,0.8,critical_danger,1,1
129,09:26,1,Klaus Mueller,critical,1.0,critical_danger,1,1
130,09:26,0,Isabella Rodriguez,high,0.7600000000000001,in_danger,1,2
130,09:26,1,Klaus Mueller,critical,1.0,critical_danger,1,2
131,09:27,0,Isabella Rodriguez,high,0.7600000000000001,in_danger,1,2
131,09:27,1,Klaus Mueller,critical,1.0,critical_danger,1,2
132,09:28,0,Isabella Rodriguez,high,0.7600000000000001,in_danger,1,2
132,09:28,1,Klaus Mueller,critical,1.0,critical_danger,1,2
133,09:28,0,Isabella Rodriguez,high,0.7600000000000001,in_danger,1,2
133,09:28,1,Klaus Mueller,critical,1.0,critical_danger,1,2
134,09:29,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
134,09:29,1,Klaus Mueller,critical,1.0,critical_danger,1,3
135,09:30,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
135,09:30,1,Klaus Mueller,critical,1.0,critical_danger,1,3
136,09:30,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
136,09:30,1,Klaus Mueller,critical,1.0,critical_danger,1,3
137,09:31,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
137,09:31,1,Klaus Mueller,critical,1.0,critical_danger,1,3
138,09:32,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
138,09:32,1,Klaus Mueller,critical,1.0,critical_danger,1,3
139,09:32,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
139,09:32,1,Klaus Mueller,critical,1.0,critical_danger,1,3
140,09:33,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
140,09:33,1,Klaus Mueller,critical,1.0,critical_danger,1,3
141,09:34,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
141,09:34,1,Klaus Mueller,critical,1.0,critical_danger,1,3
142,09:34,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
142,09:34,1,Klaus Mueller,critical,1.0,critical_danger,1,3
143,09:35,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
143,09:35,1,Klaus Mueller,critical,1.0,critical_danger,1,3
144,09:36,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
144,09:36,1,Klaus Mueller,critical,1.0,critical_danger,1,3
145,09:36,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
145,09:36,1,Klaus Mueller,critical,1.0,critical_danger,1,3
146,09:37,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
146,09:37,1,Klaus Mueller,critical,1.0,critical_danger,1,3
147,09:38,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
147,09:38,1,Klaus Mueller,critical,1.0,critical_danger,1,3
148,09:38,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
148,09:38,1,Klaus Mueller,critical,1.0,critical_danger,1,3
149,09:39,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,3
149,09:39,1,Klaus Mueller,critical,1.0,critical_danger,1,3
150,09:40,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
150,09:40,1,Klaus Mueller,critical,1.0,critical_danger,1,4
151,09:40,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
151,09:40,1,Klaus Mueller,critical,1.0,critical_danger,1,4
152,09:41,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
152,09:41,1,Klaus Mueller,critical,1.0,critical_danger,1,4
153,09:42,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
153,09:42,1,Klaus Mueller,critical,1.0,critical_danger,1,4
154,09:42,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
154,09:42,1,Klaus Mueller,critical,1.0,critical_danger,1,4
155,09:43,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
155,09:43,1,Klaus Mueller,critical,1.0,critical_danger,1,4
156,09:44,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
156,09:44,1,Klaus Mueller,critical,1.0,critical_danger,1,4
157,09:44,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
157,09:44,1,Klaus Mueller,critical,1.0,critical_danger,1,4
158,09:45,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
158,09:45,1,Klaus Mueller,critical,1.0,critical_danger,1,4
159,09:46,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
159,09:46,1,Klaus Mueller,critical,1.0,critical_danger,1,4
160,09:46,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
160,09:46,1,Klaus Mueller,critical,1.0,critical_danger,1,4
161,09:47,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
161,09:47,1,Klaus Mueller,critical,1.0,critical_danger,1,4
162,09:48,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
162,09:48,1,Klaus Mueller,critical,1.0,critical_danger,1,4
163,09:48,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
163,09:48,1,Klaus Mueller,critical,1.0,critical_danger,1,4
164,09:49,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
164,09:49,1,Klaus Mueller,critical,1.0,critical_danger,1,4
165,09:50,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
165,09:50,1,Klaus Mueller,critical,1.0,critical_danger,1,4
166,09:50,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
166,09:50,1,Klaus Mueller,critical,1.0,critical_danger,1,4
167,09:51,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
167,09:51,1,Klaus Mueller,critical,1.0,critical_danger,1,4
168,09:52,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
168,09:52,1,Klaus Mueller,critical,1.0,critical_danger,1,4
169,09:52,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
169,09:52,1,Klaus Mueller,critical,1.0,critical_danger,1,4
170,09:53,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
170,09:53,1,Klaus Mueller,critical,1.0,critical_danger,1,4
171,09:54,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
171,09:54,1,Klaus Mueller,critical,1.0,critical_danger,1,4
172,09:54,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
172,09:54,1,Klaus Mueller,critical,1.0,critical_danger,1,4
173,09:55,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
173,09:55,1,Klaus Mueller,critical,1.0,critical_danger,1,4
174,09:56,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
174,09:56,1,Klaus Mueller,critical,1.0,critical_danger,1,4
175,09:56,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
175,09:56,1,Klaus Mueller,critical,1.0,critical_danger,1,4
176,09:57,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
176,09:57,1,Klaus Mueller,critical,1.0,critical_danger,1,4
177,09:58,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
177,09:58,1,Klaus Mueller,critical,1.0,critical_danger,1,4
178,09:58,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
178,09:58,1,Klaus Mueller,critical,1.0,critical_danger,1,4
179,09:59,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
179,09:59,1,Klaus Mueller,critical,1.0,critical_danger,1,4
180,10:00,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
180,10:00,1,Klaus Mueller,critical,1.0,critical_danger,1,4
181,10:00,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
181,10:00,1,Klaus Mueller,critical,1.0,critical_danger,1,4
182,10:01,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
182,10:01,1,Klaus Mueller,critical,1.0,critical_danger,1,4
183,10:02,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
183,10:02,1,Klaus Mueller,critical,1.0,critical_danger,1,4
184,10:02,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
184,10:02,1,Klaus Mueller,critical,1.0,critical_danger,1,4
185,10:03,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
185,10:03,1,Klaus Mueller,critical,1.0,critical_danger,1,4
186,10:04,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
186,10:04,1,Klaus Mueller,critical,1.0,critical_danger,1,4
187,10:04,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
187,10:04,1,Klaus Mueller,critical,1.0,critical_danger,1,4
188,10:05,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
188,10:05,1,Klaus Mueller,critical,1.0,critical_danger,1,4
189,10:06,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
189,10:06,1,Klaus Mueller,critical,1.0,critical_danger,1,4
190,10:06,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
190,10:06,1,Klaus Mueller,critical,1.0,critical_danger,1,4
191,10:07,0,Isabella Rodriguez,high,0.7200000000000001,in_danger,1,4
191,10:07,1,Klaus Mueller,critical,1.0,critical_danger,1,4
