"date","userId","taskOrder","historyLength","yearOfBirth","gender","education","dominantHand","drivingSide","sightImpairment","clientWidth","clientHeight","screenWidth","screenHeight","colorDepth","platform","language","browserInfo"
"04/01/2022/09:29:03",64230257,"13_61_30_49_56_57_23_24_52_44_16_27_62_12_02_40_38_41_21_04_15_28_58_08_11_",2,1978,"woman","Mgr.","right","right","no",1536,664,1536,864,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"04/01/2022/10:16:27",48878901,"24_55_45_09_40_38_07_11_26_32_39_56_58_48_31_17_33_59_01_12_57_44_36_21_14_",2,2000,"woman","secondary education","right","right",NA,1920,1080,1920,1080,24,"Win32","sk","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62"
"04/01/2022/11:06:28",4187009,"14_50_41_17_16_63_19_38_05_58_31_23_35_51_11_57_02_44_42_04_60_15_13_20_40_",2,1999,"man","secondary education","right","right",NA,1350,646,1366,768,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"04/01/2022/11:23:42",60351030,"58_44_15_54_04_03_63_07_49_31_51_59_20_60_35_19_53_05_57_42_41_46_40_62_26_",2,2000,"man","secondary education","right","left",NA,1280,577,1280,720,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"04/01/2022/12:33:16",4827987,"03_57_42_45_31_33_06_54_58_38_56_53_05_62_32_01_20_09_47_41_16_35_34_50_18_",2,2000,"woman","secondary education","left","right","Shortsightedness,  wear glasses",1536,864,1536,864,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"04/01/2022/12:50:44",70025141,"03_55_20_48_49_05_31_13_01_45_58_61_42_47_29_10_57_63_19_23_37_35_33_32_40_",2,1998,"man","Bc.","right","right","shortsightedness, astigmatism",1920,1080,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"04/01/2022/13:22:11",58609920,"20_09_54_05_04_15_30_42_26_31_40_17_58_62_18_07_57_43_16_46_10_21_35_32_28_",2,1983,"man","secondary education","right","right","krátkozrakost",1488,754,1536,864,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62"
"04/01/2022/13:36:32",44274714,"32_26_41_06_18_57_43_05_47_23_07_54_08_13_33_22_53_46_15_36_24_48_01_56_61_",2,1991,"man","Mgr.","right","right",NA,1536,721,1536,864,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"04/01/2022/18:37:11",82046792,"58_50_34_57_26_48_54_38_04_30_15_62_41_24_19_47_53_45_23_29_35_14_44_10_52_",2,2000,"woman","secondary education","left","right",NA,1366,768,1366,768,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"04/01/2022/19:41:28",70921367,"14_61_52_53_57_07_13_24_59_51_04_56_44_21_10_49_32_12_46_30_33_39_28_15_31_",2,1996,"man","secondary education","right","right",NA,1920,937,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"04/01/2022/19:57:31",84361156,"57_45_54_01_35_47_03_42_43_62_53_27_25_14_29_56_23_20_55_12_40_48_21_07_28_",2,2000,"woman","secondary education","right","right","myopia",1200,657,1200,800,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62"
"05/01/2022/16:57:44",13455851,"11_12_13_19_33_59_15_02_42_26_28_47_18_05_20_51_29_30_62_14_24_07_34_27_04_",2,2021,"woman","secondary education","right","right","none",1366,625,1366,768,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/16:58:43",60259637,"41_51_11_42_62_55_31_38_39_26_59_19_09_61_32_37_17_48_40_01_22_16_36_58_29_",2,1997,"man","Bc.","right","right","strabismus",1280,913,1280,1024,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/17:05:11",49945341,"57_46_30_08_10_37_36_58_17_56_27_51_24_20_35_16_53_44_50_01_02_06_05_43_33_",2,1998,"woman","Bc.","right","right",NA,1536,722,1536,864,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/17:07:00",19886308,"06_25_59_08_50_12_31_37_34_52_27_62_55_01_21_57_18_40_47_49_22_29_39_20_35_",2,2001,"woman","secondary education","right","right","shortsightedness",1536,754,1536,864,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62"
"05/01/2022/17:10:21",13896031,"37_09_45_62_57_52_38_10_01_04_06_12_36_24_48_35_27_39_08_50_49_02_58_17_40_",2,2002,"woman","secondary education","right","right",NA,1280,601,1280,720,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62"
"05/01/2022/17:10:31",92734996,"63_36_40_16_21_43_31_30_25_12_52_41_14_49_10_42_08_39_57_50_35_02_55_06_13_",2,2001,"woman","secondary education","right","right",NA,1280,609,1280,720,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/17:11:51",24674743,"21_62_02_63_49_23_59_26_44_22_52_25_40_56_37_04_34_58_15_50_13_03_17_24_06_",2,2001,"woman","secondary education","right","right",NA,1280,613,1280,720,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/17:25:19",63455782,"61_07_33_14_01_32_59_39_04_35_18_03_11_60_20_40_09_13_45_46_55_15_52_12_51_",2,2000,"man","secondary education","right","right","shortsightedness",1224,906,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/17:38:26",43002796,"60_63_31_62_38_45_29_48_44_05_55_18_28_50_37_40_22_47_42_19_35_49_39_53_52_",2,2001,"woman","secondary education","right","right","none",1280,619,1280,720,24,"Win32","cs","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62"
"05/01/2022/17:46:44",81104158,"63_62_26_34_44_11_52_20_31_02_49_39_57_55_09_48_15_54_13_38_22_07_33_35_27_",2,2002,"woman","secondary education","right","right",NA,1920,975,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/18:41:41",11017391,"25_56_54_19_53_49_35_45_40_61_62_34_44_13_07_05_50_09_47_31_30_23_08_04_03_",2,2001,"woman","secondary education","right","right",NA,1745,852,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/19:09:28",43599209,"22_25_21_57_02_27_36_14_43_28_32_19_07_48_15_12_56_35_13_62_10_60_05_31_04_",2,2001,"woman","secondary education","right","right","Shortsightedness, astigmatism",1280,720,1280,720,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 OPR/82.0.4227.43"
"05/01/2022/19:24:50",43909462,"08_03_34_47_52_01_60_53_20_35_02_25_29_55_27_21_37_62_46_28_56_45_07_12_24_",2,1996,"man","Mgr.","left","right","shortsightedness",1920,969,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/20:14:26",69229946,"11_14_26_12_21_01_32_06_02_25_30_42_44_03_20_05_13_53_08_27_46_16_33_38_29_",2,1998,"woman","Bc.","right","right","shortsightedness",1280,609,1280,720,24,"Win32","sk-SK","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/20:56:45",58648754,"54_04_43_55_63_05_09_33_28_01_39_56_42_31_60_20_37_50_12_59_51_61_49_02_29_",2,1998,"man","secondary education","right","right","None",1536,722,1536,864,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/21:22:31",53919866,"09_50_01_51_24_61_56_53_34_15_58_47_44_54_22_19_48_13_10_11_21_06_04_18_52_",2,1997,"man","Bc.","right","right",NA,1280,577,1280,720,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/22:07:47",89179629,"19_28_34_60_10_63_18_48_07_47_38_20_35_55_58_25_12_53_46_03_23_06_15_50_13_",2,2000,"woman","secondary education","right","right",NA,2560,1297,2560,1440,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"05/01/2022/22:48:10",83335635,"12_56_33_05_60_15_61_34_43_31_22_26_29_02_63_11_10_58_42_47_40_28_20_08_41_",2,2001,"woman","secondary education","right","right","short sightedness and astigmatism",1536,722,1536,864,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"06/01/2022/11:27:16",50659810,"54_46_22_38_05_59_13_08_35_14_55_24_53_50_40_57_51_30_52_15_21_56_26_48_16_",2,1982,"man","PhD.","right","right","shortsighted",1280,854,1280,854,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"06/01/2022/11:36:08",95366849,"33_13_09_63_20_60_14_58_25_54_32_56_49_31_06_30_05_41_15_23_61_47_01_40_50_",2,2000,"woman","secondary education","right","right",NA,1536,754,1536,864,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"06/01/2022/13:55:23",11519326,"05_41_51_22_18_35_28_34_37_44_58_03_01_16_39_31_42_62_11_24_38_12_21_23_14_",2,1994,"woman","Mgr.","right","right",NA,1920,1080,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"06/01/2022/14:12:24",20906686,"57_02_10_58_30_21_26_48_50_41_29_06_38_19_55_28_54_34_52_39_37_59_35_08_31_",2,1999,"woman","secondary education","right","right",NA,1280,569,1280,720,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"06/01/2022/14:18:15",39763890,"59_45_63_40_25_51_38_27_36_31_02_18_58_55_29_33_56_43_09_19_03_13_61_20_12_",2,1999,"woman","secondary education","right","right",NA,1280,601,1280,720,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"06/01/2022/18:38:02",1178658,"42_60_52_26_25_32_38_36_23_18_29_63_27_41_48_13_19_59_43_37_53_61_24_05_15_",2,2000,"man","secondary education","right","right","shortsighted. glasses (3 dioptre)",1366,768,1366,768,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"07/01/2022/10:50:14",93393956,"58_28_60_30_20_25_35_27_46_26_36_62_33_63_48_09_56_06_41_02_08_45_31_51_54_",2,1991,"man","Mgr.","left","left","Shortsightedness and astigmatism",1280,609,1280,720,24,"Win32","en-US","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"07/01/2022/09:26:43",20098770,"19_03_20_50_22_10_53_31_47_21_08_23_16_25_24_36_56_14_33_35_26_46_55_04_54_",2,2000,"x","secondary education","right","right","shortsightedness",1536,749,1536,864,24,"Win32","sk","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:95.0) Gecko/20100101 Firefox/95.0"
"07/01/2022/11:53:31",72442720,"49_30_12_01_18_60_61_50_25_34_07_23_10_35_03_32_28_22_14_17_04_55_48_38_47_",2,1998,"woman","Bc.","right","right",NA,1280,577,1280,720,24,"Win32","sk-SK","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"07/01/2022/13:14:55",98167004,"05_25_49_62_45_44_02_13_26_51_03_36_63_43_55_17_50_58_54_40_32_04_11_16_27_",2,1971,"x","Mgr.","right","right",NA,1374,870,1680,1050,24,"Win32","de-DE","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"07/01/2022/13:32:48",11976433,"44_27_63_56_40_30_47_28_54_46_35_49_16_01_58_04_10_41_33_52_25_55_32_08_21_",2,1996,"woman","Mgr.","right","right",NA,1920,1080,1920,1080,24,"Win32","fr-FR","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"07/01/2022/13:47:34",51048332,"46_31_40_11_05_06_51_29_55_45_56_09_35_30_28_26_44_17_53_01_10_23_48_54_63_",2,1998,"x","Mgr.","right","right",NA,1536,864,1536,864,24,"Win32","fr","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:91.0) Gecko/20100101 Firefox/91.0"
"07/01/2022/14:27:26",94617213,"61_16_45_24_25_62_09_02_32_04_63_38_49_41_03_52_26_57_51_43_39_20_47_07_50_",2,1990,"man","Mgr.","right","right",NA,1920,1080,1920,1080,24,"Win32","de","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:91.0) Gecko/20100101 Firefox/91.0"
"07/01/2022/15:06:58",66141529,"17_24_61_15_34_14_39_52_45_60_62_50_32_36_63_56_13_22_20_53_25_27_10_42_06_",2,1992,"man","Mgr.","right","right",NA,2560,1440,2560,1440,24,"Linux x86_64","en-GB","Mozilla/5.0 (X11 Ubuntu Linux x86_64 rv:95.0) Gecko/20100101 Firefox/95.0"
"07/01/2022/18:04:03",40518094,"01_09_57_08_17_49_52_34_24_16_47_62_53_55_42_05_46_54_58_23_06_51_13_63_07_",2,1997,"man","Mgr.","right","right",NA,1920,1080,1920,1080,24,"Win32","nl","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"07/01/2022/18:31:51",60003713,"08_13_25_47_26_59_24_15_55_16_38_57_50_20_43_05_28_51_61_44_49_12_34_17_14_",3,1998,"man","Bc.","right","right","Daltonisme",1439,710,1440,900,24,"MacIntel","nl-NL","Mozilla/5.0 (Macintosh Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML like Gecko) Version/15.2 Safari/605.1.15"
"07/01/2022/18:51:26",98020795,"56_41_52_14_37_44_49_02_45_08_47_04_30_17_39_34_61_23_42_28_13_03_38_60_11_",14,2001,"woman","secondary education","right","right",NA,1440,820,1440,900,24,"MacIntel","nl-nl","Mozilla/5.0 (Macintosh Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML like Gecko) Version/14.0.3 Safari/605.1.15"
"07/01/2022/19:02:35",72213923,"20_58_03_44_10_17_34_12_60_32_51_61_19_23_15_40_63_16_02_29_04_31_21_05_30_",2,1978,"woman","Mgr.","right","right","I have reading glasses.",1366,663,1366,768,24,"Win32","en-GB","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"07/01/2022/19:24:52",39930546,"53_07_16_63_40_15_59_54_41_48_44_58_19_29_10_30_12_57_28_56_18_14_50_22_43_",2,2003,"man","secondary education","right","right",NA,1280,577,1280,720,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"07/01/2022/19:26:32",88631559,"11_10_52_07_20_01_14_45_32_34_47_21_29_63_58_26_53_24_50_22_61_12_03_60_02_",4,2001,"woman","secondary education","right","right","No",980,913,412,846,24,"Linux armv8l","nl-BE","Mozilla/5.0 (Linux Android 10 SM-A750FN) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.70 Mobile Safari/537.36"
"07/01/2022/19:27:55",97326488,"27_37_47_02_18_40_54_55_14_16_62_30_23_19_15_22_13_04_26_44_08_01_56_53_11_",2,2001,"man","secondary education","right","right",NA,1920,969,1920,1080,24,"Win32","en-GB","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36 Edg/96.0.1054.62"
"07/01/2022/19:34:31",51065272,"13_01_48_16_27_02_17_38_61_31_21_26_36_63_51_50_52_49_57_47_24_43_46_04_03_",2,1998,"woman","Mgr.","right","right","shortsightedness",1536,864,1536,864,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"07/01/2022/19:37:02",89468606,"02_09_22_21_43_53_48_32_59_35_55_31_12_07_13_56_30_60_38_63_41_42_10_47_23_",6,2002,"man","secondary education","left","right","farsightness",1536,714,1536,864,24,"Win32","nl-NL","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"07/01/2022/20:05:24",80456899,"10_44_58_17_55_38_20_09_52_13_16_27_33_63_23_18_08_30_37_53_25_06_22_19_24_",3,1979,"man","PhD.","left","right","short-sightedness",1920,902,1536,864,24,"Win32","tr-TR","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"07/01/2022/20:21:46",37402517,"26_63_56_17_38_01_27_08_53_45_43_10_31_41_39_47_55_44_57_60_28_24_59_61_52_",2,1986,"man","PhD.","right","right",NA,1920,1080,1920,1080,24,"Win32","cs-CZ","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/96.0.4664.110 Safari/537.36"
"07/01/2022/20:22:35",83212708,"08_31_29_21_11_52_20_30_12_38_42_51_39_44_36_24_09_02_48_04_05_55_40_23_46_",3,1993,"woman","Mgr.","right","right",NA,1536,722,1536,864,24,"Win32","en","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/93.0.4577.82 Safari/537.36"
"07/01/2022/22:45:39",33852640,"11_62_13_57_37_60_07_47_27_35_31_54_41_03_58_15_19_52_05_38_46_14_63_25_29_",2,1996,"man","Bc.","right","left","I have astigmatism and I use glasses for it.",1920,929,1920,1080,24,"Win32","tr-TR","Mozilla/5.0 (Windows NT 10.0 Win64 x64) AppleWebKit/537.36 (KHTML like Gecko) Chrome/97.0.4692.71 Safari/537.36"
"07/01/2022/20:59:19",21979784,"34_02_15_35_32_21_18_31_26_59_27_62_63_56_48_50_20_37_11_07_22_10_19_49_16_",2,2002,"woman","secondary education","right","right","lazy eye",1280,605,1280,720,24,"Win32","nl","Mozilla/5.0 (Windows NT 10.0 Win64 x64 rv:95.0) Gecko/20100101 Firefox/95.0"
